"Common_Name","Location_Name","Distance"
"Song Sparrow","43.94940 -122.97913 Place Rd",44
"Song Sparrow","44.01053 -122.64452 Little Fall Creek",31
"Song Sparrow","45.031240, -122.043583",44
"Song Sparrow","Zena Forest 0045x1652",70
"Song Sparrow","Tum Tum Rd. 5.0 bridge",6
"Song Sparrow","42.98960  -123.86911",110
"Song Sparrow","Dawson Rd. 363x369",31
"Song Sparrow","Alexander Rd. 2.5",12
"Song Sparrow","Old River Road 346x268",24
"Song Sparrow","44.62963 -123.16289 Bowers Rock",211
"Song Sparrow","Guerber Ln. west end",83
"Song Sparrow","Smithfield 9835x2483",12
"Song Sparrow","45.36788 -122.90034 SW Edy Rd",106
"Song Sparrow","43.863417,-123.919495",50
"Song Sparrow","Ryals and Hwy 99W",150
"Song Sparrow","44.15179, -122.32001",172
"Song Sparrow","Band-tailed Pigeon 45.65636 -123.28952",17.8
"Song Sparrow","42.48184, -123.18220",25
"Song Sparrow","45.76464, -123.63953",90
"Song Sparrow","43.16061  -123.99538",135
"Song Sparrow","43.59047, -123.35497",75
"Song Sparrow","45.36557 -122.57732 Park Place Park",132
"Song Sparrow","Zena Forest 0010x1524",40
"Song Sparrow","Elliott 9020x3122",25
"Song Sparrow","9125 Spring hill",8
"Song Sparrow","42.15794 -122.48509",79
"Song Sparrow","44.12555  -120.27848",269
"Song Sparrow","Rosecrest",110
"Song Sparrow","Valsetz 8587x6706",40
"Song Sparrow","JSF02",119.2
"Song Sparrow","Finn 0134x4710",300
"Song Sparrow","45.49311 -122.42769 E Powell Blvd",43
"Song Sparrow","Green Peak Rd. ",75
"Song Sparrow","43.46254, -123.23425",170
"Song Sparrow","Pugh Landing Strip 44.47553 -123.13863",300
"Song Sparrow","Prairie Mtn. Rd. 3.25",4
"Song Sparrow","44.01435, -123.98035",12
"Song Sparrow","31r",150
"Song Sparrow","44.05649 -122.79832 McNutt Rd",256
"Song Sparrow","Enterprise 0130x3379",13
"Song Sparrow","BLM 10 448x594",110
"Song Sparrow","43.16061  -123.99538",170
"Song Sparrow","4-H 0049x1529",35
"Song Sparrow","17j",14
"Song Sparrow","EE Wilson 706x212",9
"Song Sparrow","Valsetz 8469x6725",40
"Song Sparrow","H01",114.3
"Song Sparrow","42.277502  -124.298235",51
"Song Sparrow","45.87656 -123.31884",65
"Song Sparrow","21c",100
"Song Sparrow","35th and Oak Creek ",30
"Song Sparrow","44.64746, -123.77142",40
"Song Sparrow","Mill Creek 9857x4279",120
"Song Sparrow","43.48070  -124.05025",79
"Song Sparrow","Dart Creek Road 45.884580 -122.868269",32
"Song Sparrow","Scappoose Bay 45.833665 -122.836118",64
"Song Sparrow","43.60015,-123.20547",242
"Song Sparrow","45.98671 -123.49428",70
"Song Sparrow","45.87585 -123.30586",60
"Song Sparrow","Storey 7322x3567",125
"Song Sparrow","Zumwalt-Imnaha Rd 45.42605 -117.00826",34
"Song Sparrow","E Ingram Island Place 3",15
"Song Sparrow","EE Wilson 702x211",13
"Song Sparrow","Elk Creek Rd 43.635438 -123.218272",87.7
"Song Sparrow","45.65476 -123.05137 Willow Flycatcher",131.6
"Song Sparrow","42.85928  -118.91274",166
"Song Sparrow","4m",40
"Song Sparrow","6r",85
"Song Sparrow","CR06",53.9
"Song Sparrow","43.123901  -124.126284",55
"Song Sparrow","Elk Creek Rd 43.638021 -123.217011",61.2
"Song Sparrow","35955 Hwy 223",5
"Song Sparrow","42.14475, -123.59352",84
"Song Sparrow","45.25186 -122.72714 S Anderson Rd",211
"Song Sparrow","43.64861,-123.87540",61
"Song Sparrow","45.69928, -121.57448",75
"Song Sparrow","43.66818,-123.99742",266
"Song Sparrow","SEM03",18.2
"Song Sparrow","43.94771 -122.79801 Place Rd",79
"Song Sparrow","FR13",102.4
"Song Sparrow","Gooseneck 0065x4718",14
"Song Sparrow","H06",111.5
"Song Sparrow","43.783481,-123.8914151",200
"Song Sparrow","FR08",125.2
"Song Sparrow","Parrish Gap Rd SE 44.749548 -122.981006",70.4
"Song Sparrow","Xantu's Murrelet 43.908676 -123.084531",53.9
"Song Sparrow","Brooks Road 45.855540 -122.901286",67.6
"Song Sparrow","43.94771 -122.79801 Place Rd",257
"Song Sparrow","9n",35
"Song Sparrow","Seeley Creek Rd. 0.0",90
"Song Sparrow","Old River at Ingram Island",40
"Song Sparrow","Marys Creek 46.16881 -123.67372",152
"Song Sparrow","YOMV03",21
"Song Sparrow","Ingram Rd 44.45432 -122.82999",160
"Song Sparrow","WC13",78.8
"Song Sparrow","43.12445, -121.16238",140
"Song Sparrow","Price Creek Road 1.25",60
"Song Sparrow","42.58184, -123.02610",45
"Song Sparrow","BH10",57.6
"Song Sparrow","Alsea Hwy 3.0",15
"Song Sparrow","Falcated Duck 44.137071 -123.042420",124.8
"Song Sparrow","Pleasant View 605x376",24
"Song Sparrow","LLV 6.4 bridge",46
"Song Sparrow","I-84 45.53682 -122.45750",110
"Song Sparrow","15r",90
"Song Sparrow","20i",2
"Song Sparrow","45.37139 -122.57141 Park Place Park",131
"Song Sparrow","SE Flavel St 45.46324 -122.59720",45
"Song Sparrow","45.09953 -122.85629 Miller Rd NE",161
"Song Sparrow","CR32",39.3
"Song Sparrow","Beaver Creek 431x425",96
"Song Sparrow","Oliver Creek 365x413",29
"Song Sparrow","6n",8
"Song Sparrow","Bellfountain EMB",20
"Song Sparrow","45.33749 -122.68121 Oregon Golf Club",196
"Song Sparrow","Gage 7343x5075",38
"Song Sparrow","45.92942 -123.15636",25
"Song Sparrow","Mill Creek 9851x4303",40
"Song Sparrow","Old River Road 0.5",106
"Song Sparrow","Gooseneck 0054x5153",56
"Song Sparrow","18y",20
"Song Sparrow","44.98328 -123.04098 Cinnamon Teal",124
"Song Sparrow","WC11",114.3
"Song Sparrow","20l",40
"Song Sparrow","Goracke Road gate",26
"Song Sparrow","Tip Davis Creek Rd 43.77422 -123.33510",59.9
"Song Sparrow","SEM03",34.7
"Song Sparrow","SE Flavel St 45.46324 -122.59720",15
"Song Sparrow","Coville 9616x2548",350
"Song Sparrow","Maple Grove 7739x3699",40
"Song Sparrow","Wiley Ln 46.14362 -123.75417",156
"Song Sparrow","YOMV06",187.2
"Song Sparrow","31p",160
"Song Sparrow","Airport at deerhaven dr. ",40
"Song Sparrow","Veery 45.48576 -116.91773",58
"Song Sparrow","Upper Luckiamute Rd. 0.0",90
"Song Sparrow","43.81615, -123.63171",39
"Song Sparrow","Zena Forest 0063x1604",110
"Song Sparrow","Fishback 8348x3282",9
"Song Sparrow","Alsea Hwy 6.5 clearcut sough",60
"Song Sparrow","EE Wilson 697x211",60
"Song Sparrow","Rifle Range 701x254",79
"Song Sparrow","West Salem Mule Deer",27
"Song Sparrow","Norton Creek 635x512",44
"Song Sparrow","Devitt Rd 630x538",60
"Song Sparrow","42.48578, -123.17953",65
"Song Sparrow","44.01358, -123.98232",75
"Song Sparrow","18l",20
"Song Sparrow","43.64788,-124.09688",243
"Song Sparrow","Bethel Hts Rd 0513x1246",80
"Song Sparrow","45.14825 -122.73858 Yoder Rd",291
"Song Sparrow","44.35874  -120.48891",320
"Song Sparrow","West Perrydale 0394x3829",125
"Song Sparrow","Ambraham Ln. 0.5",240
"Song Sparrow","42.18797  -124.13137",52
"Song Sparrow","45.76838 -122.89520 Apple Valley Rd",42
"Song Sparrow","45.28960, -123.68401",8
"Song Sparrow","Grover Rd. 622x535",38
"Song Sparrow","45.70012, -121.66844",29
"Song Sparrow","44.15816, -123.70927",90
"Song Sparrow","Dunn Forest Rd. 190 715x334",27
"Song Sparrow","45.45878, -123.67514",80
"Song Sparrow","45.73866 -122.77398 Racetrack Lake",63
"Song Sparrow","South Fork Rd. 3.5",70
"Song Sparrow","43.16580  -123.98940",135
"Song Sparrow","42.02029  -124.23339",142
"Song Sparrow","43.63242,-123.09638",240
"Song Sparrow","Honey Grove Rd. clearcut northeast",65
"Song Sparrow","Livermore 0158x2485",260
"Song Sparrow","44.63087 -123.15772 Bowers Rock",55
"Song Sparrow","44.34203  -120.92683",75
"Song Sparrow","44.88155 -122.75220 Silver Falls Hwy SE",79
"Song Sparrow","Independence James Street",95
"Song Sparrow","45.94002 -123.04729",125
"Song Sparrow","45.33733 -122.67490 Oregon Golf Club",126
"Song Sparrow","NF 3412",30
"Song Sparrow","SW Curry St 45.49904 -122.68105",80
"Song Sparrow","45.24007 -123.39510 Deer Creek Yamhill",112
"Song Sparrow","45.14008 -123.65455 Yoncalla Creek",187
"Song Sparrow","42.74079  -121.83367",90
"Song Sparrow","44.827738, -122.379112",42
"Song Sparrow","5005 SW Nash Ave. ",70
"Song Sparrow","Brooks Road 45.85559 -122.90263",92
"Song Sparrow","Burbank 7436x4549",22
"Song Sparrow","BP03",159.1
"Song Sparrow","45.73172 -123.21954 NW Scofield Rd",78.6
"Song Sparrow","Some Road 375x469",70
"Song Sparrow","43.1303,-123.77608",138
"Song Sparrow","42.76017, -117.03664",119
"Song Sparrow","EE Wilson 689x210",27
"Song Sparrow","43.74436, -117.66907",40
"Song Sparrow","West Salem Engel",34
"Song Sparrow","42.60187  -121.78285",19
"Song Sparrow","EE Wilson 714x214",80
"Song Sparrow","43.62794,-123.08829",168
"Song Sparrow","28m",22
"Song Sparrow","Simpson 7802x2892",150
"Song Sparrow","Kings Valley Cemetery Rd. ",27
"Song Sparrow","Price Creek Road 1.0",36
"Song Sparrow","42.73885  -121.83598",40
"Song Sparrow","43.70967  -118.79915",30
"Song Sparrow","BS13",76.8
"Song Sparrow","18l",30
"Song Sparrow","7x",23
"Song Sparrow","42.926306  -124.111993",127
"Song Sparrow","West Salem 1050 Windemere",80
"Song Sparrow","Harley Rd 45.48967 -117.45717",223
"Song Sparrow","Woods Creek Rd. 3.5",30
"Song Sparrow","Xantu's Murrelet 43.907788 -123.080568",120.7
"Song Sparrow","12s",60
"Song Sparrow","43.43642, -123.09075",43
"Song Sparrow","44.63032 -123.14819 Bowers Rock",210
"Song Sparrow","44.62471,-118.57664",93
"Song Sparrow","45.47036, -119.35818",163
"Song Sparrow","44.21264, -123.72447",37
"Song Sparrow","43.94756 -122.80265 Place Rd",173
"Song Sparrow","45.35377 -122.78367 SW Norwood Rd",77.7
"Song Sparrow","45.14573 -123.36140 Gopher Valley Rd",181
"Song Sparrow","Smith 7948x3129",35
"Song Sparrow","44.62494,-118.58203",123
"Song Sparrow","44.27002 -117.99212",70
"Song Sparrow","Valsetz 8469x6725",15
"Song Sparrow","43.048990  -124.149606",85
"Song Sparrow","43.94979, -122.78893",39
"Song Sparrow","Decker at small xmas tree farm to N? maybe fir plantation",65
"Song Sparrow","44.64843, -123.76729",14
"Song Sparrow","2q",4
"Song Sparrow","45.61349, -121.56137",48
"Song Sparrow","45.61071, -121.55532",71
"Song Sparrow","Mc Farland Rd. 346x333",90
"Song Sparrow","Alsea Hwy 7.5 clearcut east",30
"Song Sparrow","23x",42
"Song Sparrow","Andrea 9399x1154",35
"Song Sparrow","JSF03",203.9
"Song Sparrow","43.71703,-119.63176",58
"Song Sparrow","Upper Luckiamute Rd. 0.5",45
"Song Sparrow","BP52",177
"Song Sparrow","45.55021  -121.18173",110
"Song Sparrow","42.55579, -122.73302",202
"Song Sparrow","Harris Rd. 582x446",22
"Song Sparrow","44.46553,-118.66406",148
"Song Sparrow","Smith Loop slough",12
"Song Sparrow","Winney 378x657 clearcuts",27
"Song Sparrow","44.15499, -122.33791",37
"Song Sparrow","Buena Vista 7445x1614",19
"Song Sparrow","43.94543, -124.14350",40
"Song Sparrow","29u",3
"Song Sparrow","Smithfield 9833x2284",27
"Song Sparrow","45.28789 -122.79520 NE Denbrook Rd",79.5
"Song Sparrow","5445 Elliott Circle",75
"Song Sparrow","Abercrombie Creek 46.10095 -123.87343",33
"Song Sparrow","YOMV05",151.7
"Song Sparrow","12f",15
"Song Sparrow","S01",160
"Song Sparrow","LSNA 7439x1345",15
"Song Sparrow","43.52573  -124.01201",75
"Song Sparrow","44.87514 -122.75275 Silver Falls Hwy SE",132
"Song Sparrow","Heritage 2 44.89691 -122.89127",35
"Song Sparrow","45.24871 -122.73810 S Anderson Rd",30
"Song Sparrow","45.51959, -121.57848",70
"Song Sparrow","45.09457 -122.85632 Miller Rd NE",164
"Song Sparrow","44.64859, -120.68334",160
"Song Sparrow","44.16324 -123.36115 Pacific Wren",160
"Song Sparrow","45.36845 -123.01689 SE Bald Peak Rd",86
"Song Sparrow","YOMV09",251.4
"Song Sparrow","Marys River Rd. 4",90
"Song Sparrow","G12",250
"Song Sparrow","38943 Upper Luckiamute Rd. ",52
"Song Sparrow","BPA Carlton Substation 45.277196 -123.140615",128
"Song Sparrow","17g",75
"Song Sparrow","22u",150
"Song Sparrow","Airlie 7441x2502",200
"Song Sparrow","43.93390 -122.91469 Papenfus Rd",49
"Song Sparrow","Godias Creek OUT 45.46950 -116.79315",54
"Song Sparrow","Beaver Creek 438x410",16
"Song Sparrow","Seeley Creek 44.27321 -122.86140",120.5
"Song Sparrow","LSNA 7423x1341",30
"Song Sparrow","45.91950, -118.82548",60
"Song Sparrow","43.95602, -124.13726",22
"Song Sparrow","45.40823, -123.86907",76
"Song Sparrow","43.00915  -124.44213",198
"Song Sparrow","45.40668, -118.29746",125
"Song Sparrow","Sand Ridge Cemetry 44.51049 -122.98306",133
"Song Sparrow","WC17",73.1
"Song Sparrow","Beck 0258x3175",105
"Song Sparrow","45.31686 -122.90446 Parrett Mountain Airport",73
"Song Sparrow","Orchard Heights 9701x1537",65
"Song Sparrow","Pedee Creek 7556x4400",10
"Song Sparrow","w Ingram Island 0.5",15
"Song Sparrow","TS02",NA
"Song Sparrow","42.11215 -120.67522",135
"Song Sparrow","45.37040 -122.56709 Park Place Park",42
"Song Sparrow","FR11",101.4
"Song Sparrow","43.94097, -124.14362",30
"Song Sparrow","Williams Rd. 318x373",31
"Song Sparrow","30vvvv",20
"Song Sparrow","13s",30
"Song Sparrow","45.48159 -122.76451 SW Jamieson Rd",178
"Song Sparrow","Prairie Rd 44.149579 -123.180633",43.8
"Song Sparrow","LM03",82.2
"Song Sparrow","YOMV02",129.8
"Song Sparrow","45.28595 -122.79868 NE Denbrook Rd",65.8
"Song Sparrow","45.33524 -122.67673 Oregon Golf Club",226
"Song Sparrow","45.40465, -122.12920",90
"Song Sparrow","42.41162, -123.45736",261
"Song Sparrow","45.28624, -123.50596",95
"Song Sparrow","43.576517  -124.187749",68
"Song Sparrow","42.86479,-123.58398",109
"Song Sparrow","45.12217 -123.02188 SE Grand Island Loop",27
"Song Sparrow","Hwy 223 8.5",27
"Song Sparrow","23k",90
"Song Sparrow","Jefferson Scio Dr. 44.71151 -122.87112",150
"Song Sparrow","East Grossman Creek 45.79920 -117.52905",10
"Song Sparrow","Hwy 223 at Price Creek Rd. ",38
"Song Sparrow","Bowersville 9192x2579",15
"Song Sparrow","44.84606 -122.65641 Smith Creek Marion",87
"Song Sparrow","Greenberry X",30
"Song Sparrow","18tttt",12
"Song Sparrow","42.573460  -124.344009",57
"Song Sparrow","Alsea Hwy 1.0",42
"Song Sparrow","43.74995 -123.32994",27
"Song Sparrow","18o",65
"Song Sparrow","45.14573 -123.36140 Gopher Valley Rd",189
"Song Sparrow","Zena Forest 0014x1625",50
"Song Sparrow","Greenberry - muddy creek",80
"Song Sparrow","WC07",100
"Song Sparrow","45.46498 -122.99375 SIC Resevoir",127
"Song Sparrow","43.97394 -123.08485 Christensen Rd",83
"Song Sparrow","45.28536 -122.46183 S Steiner Rd",89.6
"Song Sparrow","YOGV12",145.3
"Song Sparrow","SW Curry St 45.49798 -122.68066",40
"Song Sparrow","17s",80
"Song Sparrow","Liberty 8588x3835",35
"Song Sparrow","Youngs River 46.08997 -123.75503",136
"Song Sparrow","45.33276, -118.71964",35
"Song Sparrow","45.65469, -118.90519",238
"Song Sparrow","FR08",75.8
"Song Sparrow","Alpine Road railroad",79
"Song Sparrow","42.577835  -124.336430",81
"Song Sparrow","45.15245 -122.72351 Yoder Rd",74
"Song Sparrow","GasPipelineRoad 46.10784 -123.24744",44.8
"Song Sparrow","28k",19
"Song Sparrow","Dallas Bridlewood 1575",110
"Song Sparrow","Smith 7992x3151",75
"Song Sparrow","Burgundy 635x263",85
"Song Sparrow","42.88975  -118.88249",34
"Song Sparrow","Bursell 8671x2440",40
"Song Sparrow","Irish Bend slough",15
"Song Sparrow","43.01425  -124.44844",156
"Song Sparrow","Little Sheep Creek 45.39916 -117.01351",49
"Song Sparrow","MARS003",47
"Song Sparrow","Hwy 20",215
"Song Sparrow","Bellfountain Rd. 313x361",59
"Song Sparrow","45.15245 -122.72351 Yoder Rd",126
"Song Sparrow","2q",60
"Song Sparrow","43.141822,-123.255026",100
"Song Sparrow","21x",22
"Song Sparrow","45.19169, -122.17465",104
"Song Sparrow","45.25840, -123.66241",92
"Song Sparrow","4q",20
"Song Sparrow","27k",100
"Song Sparrow","45.41698, -118.37385",23
"Song Sparrow","43.66494,-123.99532",87
"Song Sparrow","Price Creek Road 1.5",65
"Song Sparrow","44.01939, -123.90663",60
"Song Sparrow","Green Peak Rd. 1.0",60
"Song Sparrow","23y",12
"Song Sparrow","42.737981  -124.403880",88
"Song Sparrow","Glandon Co Rd. gate",60
"Song Sparrow","Prairie Rd 44.147926 -123.175967",61.2
"Song Sparrow","11l",30
"Song Sparrow","Broadmead 0551x2721",9
"Song Sparrow","OF06",27.4
"Song Sparrow","45.72965 -123.21858 NW Scofield Rd",94.1
"Song Sparrow","45.31686 -122.90446 Parrett Mountain Airport",25
"Song Sparrow","Jefferson Scion Dr. 44.71135 -122.88389",42
"Song Sparrow","42.10825 -120.67545",25
"Song Sparrow","EE Wilson 702x211",51
"Song Sparrow","Wildwood 7327x5207",80
"Song Sparrow","Tampico  clearcut south",90
"Song Sparrow","43.27328  -123.80984",38
"Song Sparrow","Greenwood 9489x1815",41
"Song Sparrow","Peoria Rd 44.32900 -123.18405",200
"Song Sparrow","I-84 45.53747 -122.45551",30
"Song Sparrow","EE Wilson 718x212",30
"Song Sparrow","Zena Rd 0149x1176",25
"Song Sparrow","Brown 9984x3610",75
"Song Sparrow","FR18",192.9
"Song Sparrow","Bellfountain and Starr Creek Rd. ",25
"Song Sparrow","Shumway Rd 43.738645 -118.081711",67
"Song Sparrow","Long Road",26
"Song Sparrow","45.33815 -122.66930 Oregon Golf Club",102
"Song Sparrow","44.31057, -123.85812",31
"Song Sparrow","Alton Baker Park 44.054227 -123.060580",119.7
"Song Sparrow","43.005281  -124.217073",97
"Song Sparrow","Dykstrn to Bellfountain",18
"Song Sparrow","45.94044 -123.39503",15
"Song Sparrow","25x",210
"Song Sparrow","42.88409  -118.88422",136
"Song Sparrow","45.76682 -122.89240 Apple Valley Rd",110
"Song Sparrow","Marys River Rd. 4.5",6
"Song Sparrow","Bridgeport 8559x4200",20
"Song Sparrow","Three Lakes Rd  SE 44.59513 -123.05928",182
"Song Sparrow","OAKW002",35
"Song Sparrow","Finley at pullout by marsh",15
"Song Sparrow","EastmanRoad 46.00334 -123.23753",30.1
"Song Sparrow","Buena Vista 8215x1655",40
"Song Sparrow","23v",70
"Song Sparrow","1q",100
"Song Sparrow","42.19545, -123.21312",25
"Song Sparrow","Bethel Rd 0431x2067",57
"Song Sparrow","ZF09",62
"Song Sparrow","Pettibone and Meyer Lane",27
"Song Sparrow","45.33749 -122.68121 Oregon Golf Club",213
"Song Sparrow","Irish Bend slough",3
"Song Sparrow","Pleasant Hill 0603x3544",128
"Song Sparrow","Brateng 8095x2477",162
"Song Sparrow","Robison Road 720x252",36
"Song Sparrow","Oakville Rd SW 44.55665 -123.16051",75
"Song Sparrow","43.85610 -123.04655 Mill Rd",192
"Song Sparrow","Wishram and Eagle View Dr. ",72
"Song Sparrow","43.53733,-123.85755",274
"Song Sparrow","45.09718 -122.85628 Miller Rd NE",173
"Song Sparrow","Marys Creek 46.16658 -123.69349",103
"Song Sparrow","Hwy 34 374x707",65
"Song Sparrow","FR21",178
"Song Sparrow","17p",65
"Song Sparrow","42.86640  -124.06346",115
"Song Sparrow","19567 Hwy 34",60
"Song Sparrow","45.52272 -122.35548 Purple Martin",152
"Song Sparrow","West of Dry Hollow Rd 44.84951 -120.14996",110
"Song Sparrow","Farmer 9688x2223",85
"Song Sparrow","Frost 8456x4182",25
"Song Sparrow","44.64272, -120.68088",250
"Song Sparrow","Valsetz 8661x6935",36
"Song Sparrow","30w",95
"Song Sparrow","West Salem 2304 Rogers",16
"Song Sparrow","42.85888  -124.05935",25
"Song Sparrow","Rowell Creek 0528x5679",70
"Song Sparrow","Oak Grove 9974x1761",50
"Song Sparrow","Simpson 7765x2793",280
"Song Sparrow","5n",20
"Song Sparrow","Honey Grove 388x561 clearcut north woods south",20
"Song Sparrow","43.93798 -122.91449 Papenfus Rd",123
"Song Sparrow","NF-2022 44.40072 -122.43642",125
"Song Sparrow","Fire Hall 0494x6237",10
"Song Sparrow","Adams 8897x24886",150
"Song Sparrow","45.45120 -122.90168 SW Farmington Rd",101.4
"Song Sparrow","WILL002L",90
"Song Sparrow","43.97984  -118.67975",169
"Song Sparrow","43.123858  -124.130695",117
"Song Sparrow","Valsetz 8250x6537",40
"Song Sparrow","Western Gull 44.878214 -123.000842",37.4
"Song Sparrow","Harris Rd. 581x486 clearcut",140
"Song Sparrow","Williams Rd. 318x373",76
"Song Sparrow","JF06",66.8
"Song Sparrow","Scravel Hill Rd SE 44.65405 -123.01785",125
"Song Sparrow","Peoria Rd 44.31646 -123.17469",400
"Song Sparrow","45.09718 -122.85628 Miller Rd NE",135
"Song Sparrow","44.72949, -123.76187",5
"Song Sparrow","Apple Valley Rd 45.76714 -122.89303",80
"Song Sparrow","I-84 45.54582 -122.46896",66
"Song Sparrow","1304 NE 2nd St.",30
"Song Sparrow","LSNA 7343x1487",90
"Song Sparrow","45.60157 -123.20249 NW Shearer Hill Rd",152
"Song Sparrow","FR01",110
"Song Sparrow","Red-breasted Sapsucker 43.658276 -123.307084",32
"Song Sparrow","44.18136,-119.57544",40
"Song Sparrow","Livermore 9960x2592",107
"Song Sparrow","Gold Creek 0246x5482",140
"Song Sparrow","43.71703,-119.63176",37
"Song Sparrow","43.47901  -124.04963",110
"Song Sparrow","14l",40
"Song Sparrow","Hazelton Rd 43.840759 -123.129931",66
"Song Sparrow","44.088424  -120.061531",125
"Song Sparrow","Blaze Dr. 0.0",55
"Song Sparrow","AR Ford 0366x6399",100
"Song Sparrow","42.16687 -122.48385",66
"Song Sparrow","Ward Road 0.0",95
"Song Sparrow","Bethel Hts Rd 0324x1641",27
"Song Sparrow","45.72239 -123.23035 NW Scofield Rd",26.5
"Song Sparrow","45.33749 -122.68121 Oregon Golf Club",75
"Song Sparrow","6q",90
